course_id,cmid,assignid,assign_name,anon_user,submissionid,status,submitted_unix,submitted_at,allowsubmissionsfromdate,duedate,cutoffdate,time_to_submit_seconds,time_to_submit_hours,grade
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_b2854143ca7e,1239,new,1759214169,2025-09-30 08:36:09,1755036000,0,0,4178169,1160.602,
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_06257cfc6863,5058,submitted,1755456183,2025-08-17 18:43:03,1755036000,0,0,420183,116.718,74.34
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_76ea28c9c37e,5059,submitted,1755684317,2025-08-20 10:05:17,1755036000,0,0,648317,180.088,66.57
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_008f7bf89bda,5060,submitted,1756212686,2025-08-26 12:51:26,1755036000,0,0,1176686,326.857,90.04
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_4c38066be671,5061,submitted,1756201798,2025-08-26 09:49:58,1755036000,0,0,1165798,323.833,75.81
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_b78a33fdea2a,5062,submitted,1755430144,2025-08-17 11:29:04,1755036000,0,0,394144,109.484,59.26
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_a1b2c3d4e5f6,5063,submitted,1755411437,2025-08-17 06:17:17,1755036000,0,0,375437,104.288,77.02
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_f6e5d4c3b2a1,5064,submitted,1755665524,2025-08-20 04:52:04,1755036000,0,0,629524,174.868,71.67
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_1a2b3c4d5e6f,5065,submitted,1755139244,2025-08-14 02:40:44,1755036000,0,0,103244,28.679,80.78
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_9e8d7c6b5a4f,5066,submitted,1755358624,2025-08-16 15:37:04,1755036000,0,0,322624,89.618,73.41
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_3f4e5d6c7b8a,5067,submitted,1755248205,2025-08-15 08:56:45,1755036000,0,0,212205,58.946,79.4
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_c7b6a5d4e3f2,5068,submitted,1755361533,2025-08-16 16:25:33,1755036000,0,0,325533,90.426,75.93
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_5e6f7a8b9c0d,5069,submitted,1755863178,2025-08-22 11:46:18,1755036000,0,0,827178,229.772,68.25
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_2d3c4b5a6f7e,5070,submitted,1755928591,2025-08-23 05:56:31,1755036000,0,0,892591,247.942,83.73
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_8b9a0c1d2e3f,5071,submitted,1755508182,2025-08-18 09:09:42,1755036000,0,0,472182,131.162,90.05
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_4f5e6d7c8b9a,5072,submitted,1755704127,2025-08-20 15:35:27,1755036000,0,0,668127,185.591,89.92
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_0a1b2c3d4e5f,5073,submitted,1755184513,2025-08-14 15:15:13,1755036000,0,0,148513,41.254,71.07
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_7c8d9e0f1a2b,5074,submitted,1755296755,2025-08-15 22:25:55,1755036000,0,0,260755,72.432,85.23
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_6b7c8d9e0f1a,5075,submitted,1755126760,2025-08-13 23:12:40,1755036000,0,0,90760,25.211,93.07
1516,2665,169,Turnitin Setup Challenge (Group Activity),u_e3f4a5b6c7d8,5076,submitted,1755098548,2025-08-13 15:22:28,1755036000,0,0,62548,17.374,84.74
