course_id,cmid,assignid,assign_name,anon_user,submissionid,status,submitted_unix,submitted_at,allowsubmissionsfromdate,duedate,cutoffdate,time_to_submit_seconds,time_to_submit_hours,grade
1516,2667,170,Participant Management Submission,u_4c38066be671,1233,new,1758005189,2025-09-16 08:46:29,1755036000,1755640800,0,2969189,824.775,-1.0
1516,2667,170,Participant Management Submission,u_b78a33fdea2a,1245,new,1760347795,2025-10-13 11:29:55,1755036000,1755640800,0,5311795,1475.499,
1516,2667,170,Participant Management Submission,u_06257cfc6863,5077,submitted,1755112697,2025-08-13 19:18:17,1755036000,1755640800,0,76697,21.305,81.79
1516,2667,170,Participant Management Submission,u_76ea28c9c37e,5078,submitted,1755391128,2025-08-17 00:38:48,1755036000,1755640800,0,355128,98.647,59.33
1516,2667,170,Participant Management Submission,u_008f7bf89bda,5079,submitted,1755547339,2025-08-18 20:02:19,1755036000,1755640800,0,511339,142.039,81.45
1516,2667,170,Participant Management Submission,u_b2854143ca7e,5080,submitted,1755379986,2025-08-16 21:33:06,1755036000,1755640800,0,343986,95.552,72.07
1516,2667,170,Participant Management Submission,u_a1b2c3d4e5f6,5081,submitted,1755441538,2025-08-17 14:38:58,1755036000,1755640800,0,405538,112.649,69.72
1516,2667,170,Participant Management Submission,u_f6e5d4c3b2a1,5082,submitted,1755925913,2025-08-23 05:11:53,1755036000,1755640800,0,889913,247.198,80.67
1516,2667,170,Participant Management Submission,u_1a2b3c4d5e6f,5083,submitted,1755585527,2025-08-19 06:38:47,1755036000,1755640800,0,549527,152.646,90.37
1516,2667,170,Participant Management Submission,u_9e8d7c6b5a4f,5084,submitted,1755088180,2025-08-13 12:29:40,1755036000,1755640800,0,52180,14.494,100.0
1516,2667,170,Participant Management Submission,u_3f4e5d6c7b8a,5085,submitted,1755074686,2025-08-13 08:44:46,1755036000,1755640800,0,38686,10.746,56.72
1516,2667,170,Participant Management Submission,u_c7b6a5d4e3f2,5086,submitted,1755444000,2025-08-17 15:20:00,1755036000,1755640800,0,408000,113.333,88.29
1516,2667,170,Participant Management Submission,u_5e6f7a8b9c0d,5087,submitted,1755557928,2025-08-18 22:58:48,1755036000,1755640800,0,521928,144.98,81.41
1516,2667,170,Participant Management Submission,u_2d3c4b5a6f7e,5088,submitted,1755363843,2025-08-16 17:04:03,1755036000,1755640800,0,327843,91.067,88.6
1516,2667,170,Participant Management Submission,u_8b9a0c1d2e3f,5089,submitted,1755387276,2025-08-16 23:34:36,1755036000,1755640800,0,351276,97.577,76.72
1516,2667,170,Participant Management Submission,u_4f5e6d7c8b9a,5090,submitted,1755341181,2025-08-16 10:46:21,1755036000,1755640800,0,305181,84.772,84.17
1516,2667,170,Participant Management Submission,u_0a1b2c3d4e5f,5091,submitted,1755684635,2025-08-20 10:10:35,1755036000,1755640800,0,648635,180.176,76.1
1516,2667,170,Participant Management Submission,u_7c8d9e0f1a2b,5092,submitted,1755547629,2025-08-18 20:07:09,1755036000,1755640800,0,511629,142.119,59.4
1516,2667,170,Participant Management Submission,u_6b7c8d9e0f1a,5093,submitted,1755535553,2025-08-18 16:45:53,1755036000,1755640800,0,499553,138.765,82.81
1516,2667,170,Participant Management Submission,u_e3f4a5b6c7d8,5094,submitted,1755410144,2025-08-17 05:55:44,1755036000,1755640800,0,374144,103.929,62.55
