course_id,cmid,quizid,quiz_name,anon_user,attemptid,attempt_no,state,timestart,timefinish,started_unix,finished_unix,duration_seconds,duration_minutes,raw_score,raw_max,scaled_max,score_pct,scaled_grade,timeopen,timeclose,timelimit_seconds,attempts_allowed
1516,2657,88,Interactive Tools Knowledge Check,u_06257cfc6863,306,1,finished,2025-10-13 12:42:45,2025-10-13 12:44:07,1760352165,1760352247,82,1.367,9.0,15.0,15.0,60.0,9.0,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_76ea28c9c37e,311,1,finished,2025-10-14 09:06:24,2025-10-14 09:07:51,1760425584,1760425671,87,1.45,6.0,15.0,15.0,40.0,6.0,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_008f7bf89bda,308,1,finished,2025-10-13 12:47:21,2025-10-13 12:48:42,1760352441,1760352522,81,1.35,8.0,15.0,15.0,53.333,8.0,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_008f7bf89bda,310,2,finished,2025-10-14 09:05:20,2025-10-14 10:05:20,1760425520,1760429120,3600,60.0,0.0,15.0,15.0,0.0,0.0,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_4c38066be671,300,1,finished,2025-09-29 10:01:31,2025-09-29 10:02:41,1759132891,1759132961,70,1.167,6.0,15.0,15.0,40.0,6.0,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_4c38066be671,307,2,finished,2025-10-13 12:45:00,2025-10-13 12:46:39,1760352300,1760352399,99,1.65,15.0,15.0,15.0,100.0,15.0,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_b78a33fdea2a,8020,1,finished,2025-10-10 08:59:25,2025-10-10 09:13:47,1760086765,1760087627,862,14.367,10.64,15.0,15.0,70.91,10.64,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_b2854143ca7e,8021,1,finished,2025-10-03 00:58:51,2025-10-03 01:05:43,1759453131,1759453543,412,6.867,15.0,15.0,15.0,100.0,15.0,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_a1b2c3d4e5f6,8022,1,finished,2025-10-10 16:09:13,2025-10-10 16:15:12,1760112553,1760112912,359,5.983,12.71,15.0,15.0,84.714,12.71,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_f6e5d4c3b2a1,8023,1,finished,2025-09-30 19:09:20,2025-09-30 19:16:58,1759259360,1759259818,458,7.633,10.76,15.0,15.0,71.764,10.76,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_1a2b3c4d5e6f,8024,1,finished,2025-10-06 10:02:24,2025-10-06 10:10:16,1759744944,1759745416,472,7.867,11.86,15.0,15.0,79.042,11.86,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_9e8d7c6b5a4f,8025,1,finished,2025-10-08 13:09:56,2025-10-08 13:16:30,1759928996,1759929390,394,6.567,8.47,15.0,15.0,56.444,8.47,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_3f4e5d6c7b8a,8026,1,finished,2025-09-30 00:17:35,2025-09-30 00:27:28,1759191455,1759192048,593,9.883,5.18,15.0,15.0,34.549,5.18,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_c7b6a5d4e3f2,8027,1,finished,2025-10-12 03:34:29,2025-10-12 03:42:31,1760240069,1760240551,482,8.033,14.06,15.0,15.0,93.708,14.06,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_5e6f7a8b9c0d,8028,1,finished,2025-10-01 18:31:55,2025-10-01 18:42:08,1759343515,1759344128,613,10.217,4.56,15.0,15.0,30.411,4.56,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_2d3c4b5a6f7e,8029,1,finished,2025-10-08 02:21:58,2025-10-08 02:23:20,1759890118,1759890200,82,1.367,9.96,15.0,15.0,66.379,9.96,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_8b9a0c1d2e3f,8030,1,finished,2025-10-07 22:40:02,2025-10-07 22:54:11,1759876802,1759877651,849,14.15,7.32,15.0,15.0,48.795,7.32,0,0,3600,0
1516,2657,88,Interactive Tools Knowledge Check,u_4f5e6d7c8b9a,8031,1,finished,2025-10-07 11:56:46,2025-10-07 12:04:10,1759838206,1759838650,444,7.4,14.53,15.0,15.0,96.892,14.53,0,0,3600,0
